date,high_T,low_T,skycon,skycon2
2016/4/18,22,12,partly_cloudy_day,cloudy
2016/4/19,24,15,partly_cloudy_day,cloudy
2016/4/20,18,14,rain,rain
2016/4/21,25,15,partly_cloudy_day,cloudy
2016/4/22,27,16,partly_cloudy_day,cloudy
2016/4/23,18,13,rain,rain
2016/4/24,21,13,cloudy,cloudy
2016/4/25,20,13,cloudy,cloudy
2016/4/26,17,12,rain,rain
2016/4/27,17,11,rain,rain
2016/4/28,23,12,partly_cloudy_day,cloudy
2016/4/29,27,15,clear_day,clear_day
2016/4/30,29,17,clear_day,clear_day
2016/5/1,30,20,partly_cloudy_day,cloudy
2016/5/2,26,16,rain,rain
2016/5/3,25,14,clear_day,clear_day
2016/5/4,30,20,partly_cloudy_day,cloudy
2016/5/5,25,20,rain,rain
2016/5/6,28,17,partly_cloudy_day,cloudy
2016/5/7,19,15,cloudy,cloudy
2016/5/8,17,13,rain,rain
2016/5/9,20,15,rain,rain
2016/5/10,21,13,partly_cloudy_day,cloudy
2016/5/11,27,16,clear_day,clear_day
2016/5/12,30,16,partly_cloudy_day,cloudy
2016/5/13,20,15,cloudy,cloudy
2016/5/14,26,16,partly_cloudy_day,cloudy
2016/5/15,18,13,rain,rain
2016/5/16,25,13,clear_day,clear_day
2016/5/17,26,14,partly_cloudy_day,cloudy
2016/5/18,25,14,partly_cloudy_day,cloudy
2016/5/19,27,17,partly_cloudy_day,cloudy
2016/5/20,24,17,cloudy,cloudy
2016/5/21,19,16,rain,rain
2016/5/22,19,15,rain,rain
2016/5/23,23,17,cloudy,cloudy
2016/5/24,26,17,cloudy,cloudy
2016/5/25,29,21,partly_cloudy_day,cloudy
2016/5/26,26,20,rain,rain
2016/5/27,23,19,rain,rain
2016/5/28,21,19,rain,rain
2016/5/29,24,17,cloudy,cloudy
2016/5/30,27,20,partly_cloudy_day,cloudy
2016/5/31,29,21,rain,rain
2016/6/1,21,16,rain,rain
2016/6/2,22,18,partly_cloudy_day,cloudy
2016/6/3,23,18,rain,rain
2016/6/4,22,16,cloudy,cloudy
2016/6/5,26,18,partly_cloudy_day,cloudy
2016/6/6,27,19,rain,rain
2016/6/7,26,21,rain,rain
2016/6/8,24,19,rain,rain
